in,xla,xlb
809,0.8757527,C
810,0.55945504,C
811,0.3412451,B
812,0.49799046,A
813,0.77809924,B
814,0.93849427,C
815,0.83866113,C
816,0.49573517,B
817,0.14519615,B
818,1.0202818,B
819,0.20406547,B
820,0.6574826,C
821,2.2502475,A
822,0.398803,B
823,0.6175773,B
824,0.16929764,A
825,0.16705966,B
826,0.11421351,A
827,-0.05721563,B
828,0.6863761,A
829,0.28359115,A
830,0.5625652,A
831,0.41050366,A
832,0.5295087,C
833,0.13467026,C
834,0.26874048,B
835,0.30771467,A
836,0.3714701,A
837,0.5457544,A
838,0.6531217,C
839,0.9156195,B
840,0.42014772,A
841,0.47829482,B
842,0.31397805,B
843,0.8465961,A
844,0.5456954,C
845,0.1395219,A
846,0.26374832,A
847,0.46791083,C
848,0.54954624,A
849,0.65973294,B
850,0.40516347,C
851,1.0475205,B
852,0.6703299,C
853,1.1599373,B
854,1.1608794,A
855,-0.117907405,C
856,0.39697242,B
857,0.9887248,B
858,0.030897528,A
859,0.5143105,A
860,0.6458827,B
861,0.57924634,C
862,0.5074414,A
863,0.24844824,B
864,0.8028867,C
865,0.7665026,A
866,0.8938299,A
867,0.068947844,C
868,0.49203745,B
869,0.75983673,C
870,0.12698194,A
871,1.1098337,B
872,0.5566651,C
873,0.32903636,A
874,0.7837704,B
875,0.2729327,B
876,0.01581046,B
877,0.22554344,B
878,0.5833847,B
879,0.98843336,A
880,0.9976721,B
881,0.7547912,C
882,0.7902078,A
883,1.2627361,A
884,1.1582924,B
885,0.13583016,B
886,0.03502789,B
887,0.5500642,A
888,0.5987839,B
889,0.48748058,B
890,0.5141283,A
891,0.48948607,A
892,-0.07895435,A
893,0.06750496,C
894,0.8379869,A
895,1.1264508,B
896,1.0697986,A
897,0.29837424,A
898,1.066582,A
899,1.0066799,A
900,0.62524456,B
901,1.1796207,A
902,1.1110862,B
903,0.20480022,B
904,0.41577554,B
905,1.6846502,B
906,1.226742,C
907,0.19058084,B
908,-0.007886656,A
909,0.8676192,B
910,1.1792642,A
911,1.1397804,A
912,0.3185517,C
913,1.6922882,A
914,0.40406498,A
915,0.3966741,C
916,0.11317823,B
917,-0.037110165,B
918,1.3025522,A
919,1.132735,A
920,1.7800483,B
921,0.23496361,B
922,0.7993109,B
923,0.14287144,B
924,2.295222,B
925,-0.02517027,B
926,0.42605633,B
927,0.83972156,B
928,0.40145925,B
929,0.69505996,C
930,-0.13745746,C
931,0.7111354,B
932,0.51440895,A
933,1.077619,A
934,0.082962394,B
935,1.1057514,C
936,1.158561,A
937,0.6636977,C
938,1.2428318,C
939,1.2015891,A
940,1.2370918,C
941,0.8584722,B
942,1.2040662,C
943,0.2873771,B
944,0.06154879,B
945,1.2250159,A
946,1.001,A
947,0.49678457,C
948,1.1826035,B
949,0.4253984,B
950,0.6275755,C
951,-0.019683607,C
952,2.023282,C
953,0.23301348,C
954,0.47255453,A
955,1.0516884,B
956,1.0115466,A
957,0.021427177,B
958,1.2297342,A
959,1.1972686,B
960,0.89570755,C
961,1.2169195,B
962,1.2128729,C
963,1.2050235,C
964,1.1205528,B
965,0.70320916,C
966,0.57146657,B
967,0.17051066,A
968,0.94199425,C
969,-0.039136164,B
970,0.09634779,A
971,1.234003,B
972,1.1365576,A
973,1.2343076,C
974,1.1627792,C
975,-0.046676036,B
976,0.6386036,C
977,1.1635342,B
978,1.189825,A
979,0.50888026,A
980,0.20363736,A
981,0.12286443,A
982,0.589861,A
983,0.89582473,A
984,1.6722897,A
985,1.2424209,A
986,1.2330856,B
987,0.26723284,B
988,0.38346598,A
989,1.1702951,C
990,1.0912461,C
991,1.1519952,C
992,-0.13287213,A
993,0.8258227,B
994,1.2227341,B
995,-0.049586933,C
996,0.7649142,B
997,0.40122148,A
998,1.0193055,B
999,1.192063,B
1000,0.98028797,A
1001,1.2001435,B
1002,0.60068727,B
1003,1.0459462,B
1004,1.2330037,A
1005,-0.14072926,A
1006,1.1018296,C
1007,-0.02408687,A
1008,1.1465623,C
1009,0.649026,A
1010,1.0902033,A
1011,1.1938243,B
1012,1.1590874,A
1013,0.48331755,C
1014,0.8704664,C
1015,1.2181535,B
1016,0.42297727,A
1017,0.071148336,C
1018,0.21101269,A
1019,0.3550518,B
1020,0.40281713,A
1021,1.6624448,B
1022,0.6485547,C
1023,1.1917026,A
1024,1.0145303,C
1025,0.5091504,B
1026,0.33015835,B
1027,0.9516808,C
1028,0.83854747,B
1029,1.0171165,C
1030,0.7725268,B
1031,1.2470616,C
1032,1.1763562,C
1033,0.16346797,A
1034,0.8602638,C
1035,1.1163285,C
1036,0.73934877,B
1037,1.1607976,C
1038,0.18437696,A
1039,1.1356423,B
1040,1.1981059,A
1041,0.11766337,C
1042,0.8439157,B
1043,0.44483703,B
1044,0.18168846,B
1045,1.2264591,C
1046,1.0197737,A
1047,0.83184284,C
1048,1.062196,A
1049,0.06804045,B
1050,1.1780809,A
1051,0.8726574,B
1052,1.2393738,C
1053,0.8004632,C
1054,1.2191839,C
1055,0.7507286,B
1056,0.13515781,B
1057,0.2331787,A
1058,0.73542404,A
1059,0.7590406,B
1060,0.11617726,C
1061,1.1667142,A
1062,0.24937047,C
1063,0.99700844,C
1064,1.023449,C
1065,1.2115549,B
1066,0.24130914,C
1067,-0.10238654,C
1068,1.1822686,C
1069,0.34293428,A
1070,0.020482853,B
1071,1.1935583,A
1072,1.1968837,C
1073,1.087352,C
1074,1.118514,A
1075,0.98204976,B
1076,0.8477309,C
1077,0.24908581,A
1078,1.1817793,B
1079,0.4167276,B
1080,1.1983473,C
1081,1.0423716,B
1082,0.1294497,B
1083,-0.15232255,A
1084,0.3270737,C
1085,0.113679774,B
1086,1.236906,C
1087,1.2224787,B
1088,0.047068562,B
1089,0.93727046,A
1090,1.0588199,B
1091,1.2149701,A
1092,0.996322,C
1093,0.40513897,C
1094,-0.12726282,A
1095,1.2172849,C
1096,0.42950547,A
1097,1.1228153,C
1098,1.185185,C
1099,0.6596963,A
1100,0.5627842,C
1101,1.2073737,C
1102,0.8942287,B
1103,0.8365108,C
1104,1.1597717,C
1105,1.225023,C
1106,1.143322,C
1107,0.15069017,B
1108,0.38421297,C
1109,1.2113699,B
1110,-0.033608314,C
1111,1.1851597,B
1112,1.1873977,B
1113,0.91252846,C
1114,1.1793603,C
1115,1.1510344,A
1116,0.5057048,B
1117,-0.07532011,A
1118,-0.024895757,C
1119,0.3089433,B
1120,0.47182652,C
1121,1.1115589,A
1122,1.0616598,C
1123,0.89234203,B
1124,0.48522842,C
1125,1.2259812,A
1126,1.210282,C
1127,0.19528696,A
1128,0.56464,B
1129,2.017909,C
1130,1.152527,B
1131,1.2129915,C
1132,1.2332425,A
1133,0.74026716,C
1134,1.1313527,A
1135,1.1802914,B
1136,1.2197435,B
1137,0.5228116,A
1138,0.8481947,C
1139,1.2368982,B
1140,0.8662057,B
1141,1.1868572,B
1142,0.18839242,A
1143,0.7179171,B
1144,0.6171261,A
1145,1.1865921,B
1146,0.7189377,A
1147,0.1971735,A
1148,0.69020635,A
1149,0.78737617,A
1150,1.0455129,C
1151,0.27515364,C
1152,0.7186869,A
1153,0.40057215,A
1154,0.068160854,C
1155,0.8214347,C
1156,1.1933506,B
1157,1.1319703,A
1158,0.3333213,B
1159,0.79183275,C
1160,1.0734668,A
1161,0.6652193,B
1162,0.21730709,B
1163,1.2038579,A
1164,1.1160035,B
1165,1.1926756,C
1166,1.1877395,C
1167,1.1998937,A
1168,0.62928456,A
1169,0.92365956,A
1170,1.0303619,B
1171,0.40247422,B
1172,1.0553613,B
1173,1.1939042,B
1174,0.6888454,A
1175,0.30161077,B
1176,1.218549,B
1177,1.1569828,B
1178,0.93696266,B
1179,0.7790822,A
1180,1.0739875,C
1181,0.7716648,B
1182,1.234925,A
1183,0.3797976,B
1184,1.1670995,C
1185,0.036116213,C
1186,-0.114205904,B
1187,1.2326529,B
1188,1.1913934,C
1189,0.9840428,C
1190,0.76927745,B
1191,1.1414157,C
1192,0.22257958,B
1193,0.49508917,B
1194,0.8720912,A
1195,1.0322051,A
1196,0.2352494,C
1197,0.06659767,C
1198,0.5343337,A
1199,1.3815265,B
1200,1.1561652,C
1201,0.9732346,C
1202,0.5343753,A
1203,1.2026017,A
1204,1.064503,B
1205,1.1642877,B
1206,0.046809368,C
1207,1.2015183,B
1208,0.86564016,B
1209,1.1387433,A
1210,0.5983289,A
1211,1.1875252,A
1212,1.1155757,C
1213,1.1644098,C
1214,1.2061529,B
1215,1.0215323,B
1216,0.30669698,A
1217,0.08309512,A
1218,0.68999076,B
1219,0.47301897,A
1220,0.21225207,A
1221,0.23678651,A
1222,0.90753156,A
1223,0.43400526,B
1224,0.8652356,B
1225,0.747348,B
1226,0.08383541,B
1227,1.0915064,C
1228,1.5114837,C
1229,1.0899969,C
1230,0.17258935,A
1231,0.92715245,A
1232,0.60619414,C
1233,0.9706841,C
1234,1.0033001,B
1235,0.3512992,B
1236,0.74453324,B
1237,-0.11238791,B
1238,0.72663254,A
1239,0.112012714,C
1240,-0.054575942,A
1241,0.19248372,A
1242,0.96122473,C
1243,0.12357475,A
1244,1.1818503,B
1245,0.8810582,B
1246,1.0252013,A
1247,0.31092814,B
1248,0.9332526,C
1249,1.0516784,C
1250,0.4328233,B
1251,0.73525757,A
1252,0.5678672,A
1253,1.1335034,A
1254,0.11866665,A
1255,0.49529144,A
1256,1.2281318,C
1257,1.1866455,A
1258,-0.10217221,B
1259,0.5295501,C
1260,0.004108943,C
1261,1.2094963,B
1262,1.1375681,B
1263,1.1895837,C
1264,-0.021634504,A
1265,1.2241424,A
1266,1.0509175,B
1267,0.43537194,C
1268,0.92131335,B
1269,1.3905907,A
1270,0.9491643,C
1271,1.221051,B
1272,1.0842881,A
1273,0.6606549,C
1274,0.5332099,A
1275,0.113099515,B
1276,0.29256594,B
1277,0.86098796,B
1278,0.07254115,C
1279,1.1449203,A
1280,0.28408897,A
1281,0.47017667,B
1282,0.28804338,C
1283,1.1731845,C
1284,1.1910418,B
1285,0.7368318,B
1286,0.7442625,B
1287,0.8128301,A
1288,1.2897165,B
1289,1.2145181,C
1290,0.9432021,A
1291,1.104868,A
1292,0.076383546,A
1293,0.22070757,C
1294,1.0892161,B
1295,1.1943606,B
1296,1.0787125,A
1297,0.32260352,C
1298,0.25476354,A
1299,1.1665704,A
1300,0.52338964,A
1301,0.31559497,B
1302,1.1071572,C
1303,-0.016083628,C
1304,1.0457911,C
1305,0.66465354,A
1306,0.9879283,B
1307,0.6421713,C
1308,0.6253017,B
1309,1.6680586,C
1310,1.145917,C
1311,0.323022,C
1312,0.42983887,A
1313,1.2004457,C
1314,0.84163225,C
1315,0.40861338,A
1316,0.99934876,B
1317,-0.082294516,A
1318,0.96086097,A
1319,1.433737,B
1320,0.07267556,B
1321,1.1266946,A
1322,0.7847295,C
1323,0.73197985,A
1324,0.87144,C
1325,-0.06431434,B
1326,0.8342044,C
1327,1.0273093,A
1328,-0.0699323,B
1329,0.48814207,B
1330,1.192346,A
1331,1.1999066,A
1332,0.7556455,B
1333,0.37043464,B
1334,1.2850696,B
1335,0.4147442,C
1336,0.049721614,A
1337,0.55276096,B
1338,1.1501131,A
1339,1.8156446,A
1340,0.36774325,C
1341,0.29419142,B
1342,0.9498047,A
1343,1.2255838,C
1344,1.1235512,A
1345,-0.09347062,A
1346,1.1865952,C
1347,0.62549865,C
1348,1.210218,C
1349,0.3181219,C
1350,0.7977468,A
1351,0.3964474,A
1352,0.29128912,C
1353,0.62543744,B
1354,0.31329048,B
1355,1.029093,B
1356,0.024236321,B
1357,0.455375,A
1358,-0.05167555,A
1359,0.3882154,A
1360,0.72176033,B
1361,0.25907427,A
