in,berta,bertb
266,1.19402,B
267,0.87385267,C
268,0.8833152,B
269,0.8230449,A
270,0.40358132,C
271,0.3811394,C
272,0.32965082,A
273,0.09931554,B
274,1.5247822,B
275,1.1884146,A
276,0.12043537,B
277,0.604916,A
278,0.17875038,B
279,0.76264226,B
280,0.7528366,B
281,0.63946545,A
282,1.03297,A
283,0.28469867,C
284,0.73484075,A
285,1.0227008,B
286,0.39157063,B
287,0.5819775,A
288,0.61402506,A
289,0.3904996,C
290,0.47290906,A
291,0.4573441,C
292,0.92023337,A
293,0.3367173,A
294,1.1848676,C
295,0.897972,A
296,0.4615196,C
297,0.62786555,C
298,0.47817573,C
299,1.1044993,B
300,0.52551806,B
301,0.36265546,C
302,0.46832675,B
303,0.39168847,B
304,0.9767175,B
305,2.000348,B
306,0.3558151,C
307,0.46529907,A
308,0.5289908,B
309,0.42530626,C
310,0.09960407,A
311,1.2442558,C
312,1.8432493,C
313,1.3354921,A
314,0.48689544,C
315,0.2147667,B
316,1.2687054,C
317,0.17285445,A
318,0.46432936,B
319,0.88161343,A
320,0.5328198,C
321,0.36780727,B
322,0.32680333,C
323,0.31665102,A
324,1.1829684,B
325,1.3671707,B
326,0.8834987,C
327,0.18528904,C
328,1.3486152,A
329,0.08728503,C
330,0.61593884,C
331,0.07063727,A
332,0.53943384,C
333,0.22736502,C
334,0.48152763,B
335,1.0617956,C
336,0.67201847,C
337,0.45099133,B
338,0.22038937,C
339,1.0703821,B
340,1.4711425,B
341,0.24959911,B
342,1.6046989,B
343,0.2032464,C
344,0.40657878,B
345,0.46887124,A
346,0.53485286,B
347,1.5080535,C
348,1.5849688,C
349,0.13858889,B
350,0.71675956,C
351,0.4197095,A
352,0.2390855,A
353,0.461878,A
354,1.5171657,C
355,1.0520306,A
356,0.32522076,C
357,0.868907,C
358,1.5866392,B
359,0.060010754,A
360,0.20845923,C
361,1.3588274,C
362,0.70687306,A
363,0.36168247,A
364,1.486579,A
365,1.6685225,A
366,0.08442545,A
367,0.43635684,C
368,1.4941974,C
369,1.0565363,A
370,0.54038614,A
371,0.23252529,C
372,0.93467265,B
373,0.8702606,B
374,1.0774825,B
375,0.91489613,C
376,1.3243642,B
377,1.133928,A
378,0.8298006,B
379,0.30316502,B
380,0.6148515,C
381,0.46894628,B
382,0.29697388,A
383,0.18168399,C
384,1.7764423,B
385,2.015862,A
386,0.45571154,B
387,0.6519496,B
388,1.4563035,B
389,0.26966965,A
390,0.21881248,B
391,0.8830205,A
392,0.8458083,A
393,0.60936004,B
394,0.78827477,A
395,0.4072085,C
396,0.6336673,A
397,0.4608916,B
398,0.5851524,C
399,0.45981336,A
400,0.41694742,A
401,1.1152511,A
402,0.63314617,A
403,0.2814775,B
404,1.3087983,A
405,0.77490246,B
406,0.1733595,B
407,1.156646,A
408,1.0967344,A
409,0.4813195,B
410,1.3877195,B
411,0.80714077,C
412,0.402247,C
413,0.35768586,A
414,0.10177964,C
415,1.3475782,A
416,1.2931411,A
417,0.29522812,C
418,1.3852468,A
419,0.5503693,A
420,0.08554137,C
421,0.2180829,B
422,0.55699503,B
423,0.45489258,A
424,0.54743576,A
425,1.2800753,C
426,0.33898357,A
427,0.94502753,C
428,1.1587477,A
429,1.3594304,C
430,1.3222103,C
431,0.7025001,A
432,0.27557322,C
433,0.10051205,C
434,0.69852126,B
435,0.46967018,A
436,0.19461013,A
437,0.26746258,A
438,0.31489697,C
439,0.19777258,C
440,0.60612583,B
441,0.46184295,C
442,1.54656,A
443,0.7012014,A
444,0.6154468,A
445,1.3889258,A
446,1.3568244,C
447,0.634401,B
448,0.33777636,C
449,0.6111867,A
450,0.22974642,B
451,0.8972714,C
452,0.33788916,A
453,0.15191542,B
454,1.1017667,C
455,0.94144523,B
456,0.31476328,B
457,0.41180572,A
458,0.13898998,C
459,0.35362315,C
460,0.5992491,B
461,1.3326833,C
462,0.38507473,C
463,1.4733173,A
464,0.13316974,B
465,0.7032344,B
466,1.0787578,B
467,0.69760925,B
468,0.3312539,C
469,0.2797101,A
470,0.54374415,A
471,0.19986734,C
472,0.7381744,B
473,0.73319983,A
474,1.5358545,B
475,1.6273402,A
476,0.68129486,B
477,0.7843827,A
478,0.24510872,C
479,1.2918551,A
480,0.5451299,B
481,0.8198274,A
482,0.64007574,C
483,0.47638524,B
484,0.27615267,B
485,0.90368557,A
486,0.4404403,C
487,0.6312699,B
488,0.4813718,A
489,0.173313,A
490,0.5472629,A
491,0.23777755,B
492,0.43532413,B
493,0.4065563,C
494,0.5617259,C
495,1.2374598,B
496,0.42030653,B
497,1.3066312,B
498,0.0865919,A
499,1.129463,C
500,0.8374853,C
501,1.3775765,A
502,0.07401011,B
503,0.5412761,A
504,0.7469687,B
505,0.20232111,C
506,0.39408106,A
507,0.13733476,C
508,1.0056591,B
509,0.3789075,C
510,1.2985616,C
511,0.27426872,A
512,0.569718,A
513,0.7393048,A
514,0.8317018,A
515,1.7757808,B
516,1.0161393,C
517,0.6555567,A
518,1.5264633,A
519,0.5043274,A
520,0.69510794,B
521,0.3584642,B
522,0.8630748,C
523,1.1472323,C
524,1.6536013,B
525,0.6110997,A
526,0.14071034,B
527,0.5079508,B
528,0.9412372,C
529,1.4145403,B
530,0.5071621,B
531,0.870456,C
532,0.9433376,A
533,0.38652116,B
534,1.0649581,B
535,0.7654697,B
536,1.3434104,B
537,1.3328041,B
538,1.110718,C
539,0.76954913,A
540,-0.024768628,C
541,0.28081092,C
542,0.25919378,B
543,0.11371556,C
544,0.8930478,C
545,1.1711059,B
546,0.7238117,C
547,0.8025553,A
548,0.6996169,B
549,0.37749672,B
550,0.4796543,A
551,0.28651482,C
552,0.18066359,A
553,0.17803152,C
554,1.0731062,C
555,0.07767174,B
556,0.93725526,B
557,0.3853978,B
558,0.9292653,C
559,0.6752399,C
560,0.4417884,C
561,0.8620663,A
562,0.44408098,A
563,0.84372336,B
564,0.7787312,C
565,0.48447365,C
566,0.53414965,C
567,1.6544709,C
568,0.14339152,C
569,0.32207423,B
570,1.0357252,C
571,1.1434307,B
572,0.46134132,C
573,0.6054267,A
574,0.2774711,A
575,0.35660064,A
576,1.2729963,A
577,0.44746304,C
578,0.73856765,B
579,1.0294738,C
580,0.22485058,B
581,0.13536555,B
582,0.4171729,B
583,0.102370605,A
584,1.2682748,C
585,1.1620364,B
586,0.7045812,B
587,0.67657495,A
588,1.0043342,C
589,0.74736273,B
590,0.12864299,B
591,1.027141,C
592,1.0512999,A
593,0.64731836,B
594,0.073789805,C
595,0.29479027,C
596,0.20455134,C
597,0.35288092,A
598,0.045978248,A
599,0.84695804,C
600,1.1861838,A
601,0.41072723,C
602,1.1257877,B
603,0.08335271,A
604,1.2711167,A
605,0.35277638,C
606,1.3599476,C
607,0.27151293,B
608,0.90378803,C
609,0.40049285,A
610,1.0218378,C
611,0.15972339,B
612,1.0106444,A
613,1.0609622,C
614,1.4926839,B
615,0.57239735,B
616,0.69962406,B
617,0.8379444,B
618,0.35823256,B
619,0.34138352,A
620,0.40099964,A
621,0.23910849,A
622,0.6880884,C
623,1.129044,A
624,0.9427918,B
625,0.49516767,C
626,1.3442307,A
627,1.2055427,A
628,0.3657306,C
629,0.57239264,A
630,1.2256032,A
631,0.28747225,C
632,0.21667103,C
633,0.16935736,A
634,0.21001875,B
635,0.49011886,B
636,0.8040799,C
637,1.1994812,B
638,0.15908965,C
639,0.10889521,B
640,0.34441835,A
641,1.6778634,C
642,1.5492284,A
643,0.633276,B
644,1.0498977,A
645,0.25250244,C
646,0.7406581,A
647,0.5425273,A
648,0.9596865,B
649,0.23576725,A
650,0.8951649,C
651,1.9443264,A
652,0.75885886,A
653,0.82929456,C
654,0.29457092,C
655,0.8329094,B
656,1.669213,B
657,0.55288094,A
658,0.8194945,A
659,0.73840237,B
660,0.09333938,C
661,1.3889698,B
662,0.22599763,C
663,0.7597908,C
664,0.28157416,C
665,1.1439645,A
666,0.31955212,A
667,0.12983727,B
668,0.46126854,A
669,0.27424502,A
670,0.61342525,C
671,0.87942916,B
672,0.5392117,C
673,0.17861,B
674,0.2788286,C
675,0.46559262,B
676,1.4336535,C
677,0.739251,C
678,0.36867258,B
679,1.2141564,C
680,1.1743892,B
681,0.12752226,C
682,0.21789198,C
683,0.19831096,A
684,0.6204016,B
685,1.3787961,C
686,0.32575744,A
687,1.6662049,B
688,0.49260163,A
689,0.89145845,A
690,0.21268879,B
691,1.4034765,C
692,0.866341,B
693,0.09088212,A
694,0.3269265,C
695,0.27590516,B
696,0.9381836,C
697,0.48037848,A
698,1.5747538,A
699,1.0178475,C
700,0.89393276,C
701,0.12273542,C
702,1.6396157,C
703,1.2887712,B
704,1.694951,B
705,0.9804741,B
706,0.44919857,B
707,0.17348422,C
708,0.34021834,B
709,1.3008595,B
710,0.7643688,B
711,0.68738663,B
712,0.76374376,B
713,0.3689242,B
714,1.1106665,C
715,0.5832535,A
716,0.62155366,B
717,1.1845629,A
718,0.12373359,B
719,0.5421978,B
720,0.28503922,B
721,0.081564605,B
722,0.64435226,B
723,0.45258346,B
724,0.6442488,B
725,0.6291706,C
726,0.14695245,C
727,0.35772127,B
728,0.60811186,B
729,0.71041536,B
730,0.23746273,A
731,1.6925706,C
732,0.92893374,A
733,0.009268649,B
734,0.69274145,B
735,0.15759926,A
736,1.8715792,A
737,1.3174853,B
738,0.81531954,B
739,0.52214175,C
740,0.940121,B
741,0.74697787,C
742,0.9828132,A
743,1.5485206,A
744,0.400748,A
745,0.36344084,A
746,0.07274411,B
747,0.5982038,A
748,0.4594527,A
749,1.1593424,A
750,0.60728955,A
751,0.29977125,A
752,2.0723805,B
753,0.29507574,A
754,0.9198847,A
755,0.37238792,A
756,0.9995868,C
757,0.5818869,B
758,0.44398186,B
759,0.45826596,C
760,0.69152594,C
761,1.3497727,B
762,1.6283677,C
763,1.2592789,A
764,1.7256956,A
765,0.565254,A
766,1.6872725,A
767,1.1096814,B
768,0.4514473,C
769,0.49409565,A
770,0.60669005,A
771,0.5059397,C
772,0.14271466,A
773,0.24077877,A
774,0.1755805,C
775,0.5793688,C
776,0.59935296,B
777,0.5651341,A
778,0.18057993,C
779,0.6703721,B
780,0.22309485,B
781,1.0032092,C
782,0.2857231,B
783,0.5137556,A
784,0.25109154,B
785,0.8243816,B
786,0.82997316,C
787,0.610986,C
788,0.67178553,A
789,0.15221328,A
790,1.2040877,B
791,0.25687647,A
792,1.0279579,A
793,0.6069733,A
794,0.43477088,B
795,1.1848286,C
796,0.42452934,C
797,0.81423944,B
798,1.5548743,C
799,0.33690184,C
800,0.3650024,C
801,0.4263808,C
802,1.164003,A
803,0.4449542,B
804,0.64488524,B
805,0.9962445,A
806,0.26000226,C
807,0.4084803,B
808,0.16923368,B
809,0.6348744,C
810,-0.08704708,B
811,0.18058185,B
812,0.78155065,A
813,0.59628993,B
814,0.7354683,C
815,0.3017792,C
816,0.5764017,B
817,0.19559868,B
818,0.7257737,B
819,0.2331672,B
820,0.045083247,C
821,1.9724932,C
822,0.8074913,B
823,0.111774705,B
824,0.23824817,A
825,1.2659438,B
826,0.059810907,A
827,0.12293437,B
828,0.9879701,A
829,0.6387234,A
830,0.3321604,A
831,1.053304,A
832,0.34143922,A
833,0.2282128,A
834,0.7802721,C
835,0.26021895,A
836,0.15838438,B
837,0.28954798,A
838,0.96821725,A
839,1.1158744,B
840,0.67961645,A
841,0.20414802,B
842,0.10511823,A
843,0.4807673,A
844,1.2946374,A
845,0.5199431,A
846,0.27295977,C
847,1.3606417,C
848,0.64066213,C
849,1.2104838,A
850,0.12426183,C
851,0.9646445,B
852,0.5193953,C
853,1.1384608,A
854,0.9899638,A
855,0.16036208,C
856,1.0283577,C
857,0.6928561,C
858,1.2909055,A
859,0.4870752,A
860,1.9045858,B
861,0.7743702,C
862,0.8627702,A
863,1.0962994,B
864,0.32628757,C
865,0.17382996,A
866,0.37630126,A
867,0.33327413,C
868,0.6020802,B
869,-0.02792874,C
870,0.7111813,A
871,0.8153123,B
872,0.9374908,B
873,1.5557523,C
874,0.049442694,B
875,0.53158987,B
876,0.00942383,B
877,0.7061921,A
878,1.6061374,A
879,1.2449193,A
880,0.40339923,B
881,0.44889727,C
882,0.3034513,B
883,1.6181266,A
884,1.3248808,C
885,0.29630634,B
886,0.7812725,B
887,0.21839544,A
888,1.7439432,B
889,0.97142315,B
890,0.67538637,A
891,0.08335626,A
892,0.22902766,B
893,0.30338314,C
894,0.3324135,B
895,0.68589354,B
896,0.9876149,A
897,0.93045145,A
898,1.1778073,A
899,0.30726203,A
900,0.23748708,A
901,1.0660286,A
902,1.1997917,B
903,0.36778933,A
904,0.15719153,B
905,1.6313512,B
906,1.2451284,C
907,0.70994055,B
908,0.40349028,A
909,0.4235236,B
910,1.3622394,A
911,1.6326225,A
912,0.9367667,C
913,0.994753,A
914,0.9019092,A
915,1.2137537,C
916,0.622531,B
917,0.38939983,B
918,1.2870009,A
919,0.81619287,A
920,1.5401459,A
921,0.13791457,B
922,0.5882416,B
923,0.5200217,B
924,1.6650394,C
925,0.091823936,B
926,0.5665404,C
927,0.6227187,A
928,0.5482861,B
929,0.21217827,C
930,0.27409136,C
931,0.42052424,A
932,0.918617,A
933,0.5798267,A
934,0.50475943,B
935,1.2031687,C
936,1.5852399,A
937,0.6452711,C
938,1.5074202,C
939,0.69383246,A
940,1.5945389,C
941,1.4877294,B
942,1.4269943,C
943,0.06457917,C
944,0.08525829,B
945,0.13522522,A
946,0.021632358,A
947,1.0970103,B
948,1.3978007,B
949,0.6991749,B
950,0.24251956,C
951,1.0884012,C
952,0.5250302,C
953,0.2190484,A
954,0.16741644,A
955,0.8869374,B
956,0.4552197,A
957,0.6298367,B
958,1.5002443,C
959,1.0141413,B
960,0.44256997,C
961,1.6307101,B
962,1.5458841,C
963,1.079959,C
964,1.3436005,B
965,0.8456293,C
966,0.44128847,B
967,0.13862202,A
968,0.63237524,B
969,0.6569386,B
970,0.5034755,C
971,1.4190402,B
972,0.9896779,C
973,1.4037509,C
974,0.41818693,C
975,0.47746983,B
976,0.5145446,C
977,0.7548835,B
978,1.2464354,A
979,0.5536173,A
980,0.13358217,A
981,0.15122893,A
982,1.2069138,A
983,1.2387633,A
984,1.8027023,A
985,1.4249408,A
986,1.2532579,B
987,0.7077841,C
988,0.6551336,A
989,0.42110398,C
990,0.39804113,C
991,1.1944301,C
992,0.6820717,A
993,0.21114023,B
994,1.4952402,B
995,0.5040802,C
996,1.0909064,B
997,0.24358954,B
998,1.1253902,B
999,1.0536675,B
1000,1.1024964,A
1001,1.2442217,B
1002,0.57665634,B
1003,1.1686797,B
1004,1.7093917,A
1005,0.20598696,A
1006,0.24619614,C
1007,0.45438176,A
1008,1.5059777,C
1009,0.7813489,A
1010,1.1421895,A
1011,1.5798091,B
1012,1.5381486,A
1013,1.5372581,C
1014,0.41154596,C
1015,1.2652682,B
1016,0.75101113,A
1017,0.9375213,C
1018,0.6872882,A
1019,0.3484041,B
1020,1.4886868,A
1021,2.0823362,B
1022,0.046342902,C
1023,1.1999452,A
1024,1.0704776,C
1025,0.14653078,B
1026,0.25017753,B
1027,1.7995105,A
1028,0.42891854,B
1029,0.48381636,C
1030,0.15213531,B
1031,1.5592589,C
1032,1.4384266,C
1033,0.9403603,A
1034,0.6352142,C
1035,1.4319549,C
1036,0.13316917,B
1037,1.1689073,C
1038,0.3538788,A
1039,1.3637838,B
1040,1.3789706,A
1041,0.50377506,C
1042,1.1040982,B
1043,0.41183287,B
1044,0.8212552,B
1045,1.6307251,C
1046,0.5155462,A
1047,1.5376215,C
1048,0.8801695,A
1049,0.85235274,B
1050,1.451443,A
1051,1.3367773,B
1052,1.6889571,C
1053,0.73827124,C
1054,1.6269732,C
1055,2.3393564,A
1056,0.4716589,B
1057,0.42611188,A
1058,0.29566017,A
1059,0.6403329,B
1060,0.12519214,C
1061,0.5600482,A
1062,0.17124109,C
1063,0.7206546,C
1064,0.7908515,C
1065,1.6196496,B
1066,0.60799444,C
1067,0.39027297,C
1068,1.4073722,C
1069,0.4236467,A
1070,0.33841848,B
1071,1.6103548,A
1072,1.3569224,C
1073,1.4130278,C
1074,1.053678,A
1075,0.7217444,B
1076,0.5001024,C
1077,0.13939875,A
1078,1.5781778,B
1079,0.2885024,B
1080,1.4365082,C
1081,0.8438834,B
1082,0.4359551,B
1083,0.45085114,C
1084,0.5969728,C
1085,0.55844283,B
1086,1.4481148,C
1087,1.62848,B
1088,1.3128506,B
1089,0.6600636,A
1090,1.5226607,B
1091,1.502997,A
1092,1.4939582,C
1093,0.49960065,C
1094,0.4477817,A
1095,1.6357504,C
1096,0.12504363,A
1097,0.25586355,C
1098,0.75842327,C
1099,0.95283556,A
1100,1.1460114,C
1101,1.2862717,C
1102,0.33059403,B
1103,0.46321404,C
1104,1.1283988,C
1105,1.6256263,C
1106,0.8694853,C
1107,0.6220538,B
1108,1.2649181,C
1109,1.590784,B
1110,0.9623263,C
1111,1.4331048,B
1112,1.54338,B
1113,1.2625641,C
1114,1.3297302,C
1115,1.4516218,A
1116,0.06843397,B
1117,0.3708261,C
1118,0.25473344,C
1119,1.0970364,B
1120,1.1248459,C
1121,1.0923256,A
1122,1.4692491,C
1123,1.4723825,A
1124,0.74931765,C
1125,1.5275121,A
1126,1.5791609,C
1127,1.1188104,A
1128,0.56568336,B
1129,2.0589414,C
1130,1.1727519,B
1131,1.6985457,C
1132,1.4862206,A
1133,0.27692738,C
1134,1.2639501,A
1135,1.2831943,B
1136,1.325242,B
1137,0.06364754,A
1138,1.279505,C
1139,1.483786,B
1140,0.6782428,B
1141,1.5588897,B
1142,0.28082126,A
1143,0.9269775,C
1144,1.0120566,A
1145,1.3685024,B
1146,1.2151151,A
1147,0.6417059,A
1148,0.8420951,A
1149,1.4614722,A
1150,0.4822563,C
1151,0.27427578,C
1152,0.16859584,A
1153,0.16077855,A
1154,0.10350683,C
1155,0.8504451,C
1156,1.4536674,B
1157,1.3288062,A
1158,1.0807909,B
1159,0.9957884,C
1160,0.72723067,A
1161,0.9686175,B
1162,0.660972,B
1163,1.3151098,A
1164,0.2574941,B
1165,1.5297296,C
1166,0.54672265,C
1167,1.356067,A
1168,1.1839938,A
1169,0.5044764,A
1170,1.2940228,B
1171,0.960358,B
1172,0.5931866,B
1173,1.6771181,B
1174,0.8768601,A
1175,0.49823883,A
1176,1.3898104,B
1177,1.6218653,B
1178,1.2248225,B
1179,0.64202476,A
1180,0.7946049,C
1181,0.42138454,B
1182,1.4764967,A
1183,1.1583923,B
1184,1.498219,C
1185,1.067204,C
1186,0.089380205,B
1187,1.0033855,B
1188,1.5538149,C
1189,1.0544213,C
1190,0.68170846,B
1191,1.1215522,C
1192,0.61918515,B
1193,0.4598087,B
1194,0.36102435,B
1195,1.4747902,A
1196,0.40455702,C
1197,1.1965634,C
1198,1.1677765,A
1199,1.3210313,B
1200,1.4436455,C
1201,0.19082376,C
1202,0.6061122,A
1203,1.5628688,A
1204,1.1307012,B
1205,1.3700986,B
1206,-0.034019977,C
1207,1.4034073,B
1208,0.28208196,B
1209,1.5188582,A
1210,1.3279175,A
1211,0.08729114,A
1212,0.7838541,C
1213,1.2756512,C
1214,1.601395,B
1215,0.6334151,B
1216,-0.028870642,A
1217,0.31784624,A
1218,0.80966544,B
1219,0.5943183,A
1220,1.1562271,A
1221,0.62703645,A
1222,0.51324683,A
1223,0.27912053,B
1224,0.310974,B
1225,1.3941244,B
1226,0.36887336,B
1227,1.3292378,C
1228,2.2270799,A
1229,0.9428153,C
1230,0.5392691,A
1231,0.108022854,A
1232,0.25551847,C
1233,1.487699,C
1234,1.161291,B
1235,0.5206764,B
1236,0.44356596,B
1237,0.16320105,B
1238,0.5683723,A
1239,0.8659383,C
1240,1.347862,A
1241,0.83058476,A
1242,1.2215633,C
1243,0.25623375,A
1244,1.5519853,B
1245,1.2043387,C
1246,1.2796348,A
1247,0.17940831,B
1248,1.3333106,C
1249,1.0073031,C
1250,1.3830881,A
1251,0.9937732,A
1252,0.5994233,A
1253,1.398217,A
1254,1.0830328,A
1255,0.17097789,A
1256,1.5692723,C
1257,1.4450763,A
1258,0.16029471,B
1259,0.2908896,C
1260,0.99217385,C
1261,1.4946798,B
1262,1.466097,B
1263,0.07519394,C
1264,0.48417434,A
1265,1.5374593,A
1266,0.3103662,B
1267,0.7768389,B
1268,1.3055081,B
1269,1.2671757,A
1270,1.604868,C
1271,1.620293,B
1272,0.069990315,A
1273,0.8880657,C
1274,0.613708,A
1275,0.5770386,B
1276,0.4377619,B
1277,0.4537713,B
1278,-0.0074387267,C
1279,1.1665025,A
1280,0.67949694,A
1281,0.039028548,B
1282,0.34616232,C
1283,0.6306511,C
1284,1.3292568,B
1285,0.95926344,B
1286,0.6336643,B
1287,0.61978006,A
1288,1.5074065,C
1289,0.8380564,A
1290,0.06566728,A
1291,0.8836986,A
1292,0.24377295,A
1293,0.096764535,C
1294,0.625414,B
1295,1.2422119,B
1296,0.33919752,A
1297,0.6247289,C
1298,0.1417768,A
1299,0.9806842,A
1300,1.05638,A
1301,0.112667315,A
1302,0.77932084,C
1303,0.123763695,C
1304,0.7770758,A
1305,0.9202205,A
1306,0.44987708,B
1307,0.28764492,C
1308,0.6223483,B
1309,0.08772929,B
1310,1.1780597,C
1311,0.7369149,C
1312,0.1651038,B
1313,1.4306002,C
1314,0.9735112,C
1315,0.37433708,A
1316,0.5875949,B
1317,0.51264954,A
1318,0.82134247,A
1319,1.527248,B
1320,0.21351469,B
1321,0.7603608,A
1322,0.6234877,C
1323,1.1847384,A
1324,0.7064937,C
1325,0.12334114,B
1326,0.36928946,C
1327,1.0040904,A
1328,0.16135474,B
1329,1.2917697,B
1330,1.5948347,A
1331,1.0519094,A
1332,1.3326712,B
1333,0.340817,B
1334,1.1819751,B
1335,0.66996026,C
1336,0.5430901,A
1337,0.54453254,A
1338,1.4409828,A
1339,0.83900803,A
1340,0.5569175,C
1341,0.3737624,B
1342,0.8337223,A
1343,1.2059119,C
1344,1.1158634,A
1345,0.5239968,A
1346,1.0566881,C
1347,0.8695195,C
1348,1.3352132,C
1349,0.2394536,C
1350,0.9235175,A
1351,0.16672675,C
1352,0.1570912,C
1353,0.33713746,B
1354,0.5885446,B
1355,0.5901154,B
1356,0.46567136,B
1357,0.3907077,B
1358,0.46347943,A
1359,1.1706858,A
1360,1.2966123,B
1361,0.49709547,A
1362,0.16682322,B
1363,0.09797711,A
1364,0.9639486,C
1365,1.5149131,C
1366,1.1776038,C
1367,0.350712,C
1368,0.9152571,A
